Country/Region,Material ID,Material Category,Material Subtype,Per Unit,kg CO2e,EF Source,EF Type,Type Rationale,Source Dataset Name,Source UUID / Link,Use Case,Ai Rationale for the selection,AI suitability assessment result,Ecoinvent  Rationale,,,,
Global,MAT-Metal-0018,Metal,Aluminium Section Bar,kg,0.87,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for section bar extrusion, aluminium",3.11-cutoff-5813.pdf,"Aluminium Section Bar

✅ Suitable for lightweight structural applications in office and commercial furniture, interior fit-outs, and catering equipment where corrosion resistance, clean aesthetics, and ease of fabrication are priorities. Ideal for partitions, table frames, modular units, and portable catering setups where portability and visual design matter more than mechanical strength.
❌ Avoid in heavy-duty or high-impact applications (e.g., workbenches, heavy shelving) in furniture, interior fit-outs, and catering equipment due to lower strength and stiffness compared to steel. Not recommended for exposure to high temperatures or aggressive environments without further treatment, which can compromise the material's integrity and longevity.",,,,,,,
Global,MAT-Metal-0019,Metal,Cast Aluminium,kg,6.44,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for aluminium, cast alloy",3.11-cutoff-7573.pdf,"Cast Aluminium

✅ Suitable for non-structural furniture components such as chair bases, table legs, and decorative fittings where moderate strength and corrosion resistance are required. Ideal for outdoor furniture and garden tools due to its excellent castability and resistance to weathering. 
❌ Not suitable for food-contact catering equipment due to potential hygiene concerns and lower surface finish quality. Also not recommended for high-precision interior elements or structural components where higher strength and surface finish are critical.",,,,,,,
Global,MAT-Metal-0020,Metal,Chromed Steel,kg,2.33,Ecoinvent,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,"market for steel, low-alloyed, hot rolled",3.11-cutoff-7677.pdf,"Chromed Steel

✅ Suitable for structural elements in furniture and interior fit-outs where high strength and cost-efficiency are essential, such as load-bearing frames. Chromed steel offers an aesthetic finish and moderate corrosion resistance, making it appropriate for indoor applications where moisture exposure is minimal. 
❌ Not suitable for catering equipment or environments with high moisture or corrosive conditions without additional protective coatings. Chromed steel has poor corrosion resistance in such settings and contributes to high embodied emissions, making it less sustainable for applications requiring frequent cleaning or exposure to food and liquids.",,,,,,,
Global,MAT-Metal-0021,Metal,Wrought Iron,kg,2.33,Ecoinvent,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,"market for steel, low-alloyed, hot rolled",3.11-cutoff-7677.pdf,"Wrought Iron

✅ Suitable for structural elements in furniture and interior fit-outs where high strength and aesthetic appeal are essential. Ideal for decorative elements, such as railings and frames, where its malleability and classic appearance are valued. 
❌ Not suitable for catering equipment or moisture-prone interiors without protective coating due to poor corrosion resistance. High embodied emissions make it less ideal for sustainable projects unless recycled content is prioritized. Not recommended for environments where hygiene and corrosion resistance are critical, such as kitchens or outdoor settings, unless adequately treated or coated.",,,,,,,
Global,MAT-Metal-0022,Metal,Cast Iron,kg,1.86,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for cast iron,3.11-cutoff-2023.pdf,"Cast Iron

✅ Suitable for heavy-duty furniture bases and interior elements that require high compressive strength and durability, such as radiators, structural supports, and industrial-style furniture. Cast iron's robustness makes it ideal for applications where weight and stability are prioritized. 
❌ Not suitable for catering equipment or fine interior finishes due to its high weight, brittleness, and susceptibility to corrosion without a protective coating. Additionally, its coarse texture and heavy appearance may not align with the aesthetic requirements of fine interior design.",,,,,,,
Norway,MAT-Metal-0023,Metal,Cast Iron,kg,0.96,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Cast iron pipe,EPD-IES-0015310 Cast Iron Pipe 20231227 – 20281227.pdf,"Cast Iron

✅ Suitable for heavy-duty furniture bases and interior elements that require high compressive strength and durability, such as radiators, structural supports, and industrial-style furniture. Cast iron's robustness makes it ideal for applications where weight and stability are prioritized. 
❌ Not suitable for catering equipment or fine interior finishes due to its high weight, brittleness, and susceptibility to corrosion without a protective coating. Additionally, its coarse texture and heavy appearance may not align with the aesthetic requirements of fine interior design.","📊 Final CO₂e Breakdown Table (Based on 2.41 kg CO₂e)
Module        Formula        CO₂e (kg CO₂e/kg)        Description
A1        0.60 × 2.41        1.446        Upstream material supply and processing
A2        0.10 × 2.41        0.241        Global transport to Europe (mainly ship + truck)
A3        0.30 × 2.41        0.723        Foundry operations and coating application
Total (A1–A3)        Sum        2.41        Matches declared value in EPD",From Manufacturing dataset,,,,,
Rest-of-World,MAT-Metal-0024,Metal,Brass,kg,5.92,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for brass,3.11-cutoff-15401.pdf,"Brass

✅ Suitable for decorative furniture fittings and interior accents where aesthetics, workability, and corrosion resistance are important. Brass is ideal for handles, knobs, and inlays due to its attractive appearance and ease of shaping. Interior fit-outs that require a luxurious and classic look, such as railings, light fixtures, and trim details, where its warm color and resistance to tarnishing are valued. 
❌ Not suitable for high-strength structural components in furniture or interior fit-outs, as brass lacks the mechanical strength of materials like steel or aluminum. Catering equipment, particularly those requiring high durability and strength, due to brass's higher cost and lower mechanical strength compared to stainless steel, which is more suitable for food safety and hygiene standards.",,,,,,,
Switzerland,MAT-Metal-0025,Metal,Brass,kg,5.80,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for brass,3.11-cutoff-15806.pdf,"Brass

✅ Suitable for decorative furniture fittings and interior accents where aesthetics, workability, and corrosion resistance are important. Brass is ideal for handles, knobs, and inlays due to its attractive appearance and ease of shaping. Interior fit-outs that require a luxurious and classic look, such as railings, light fixtures, and trim details, where its warm color and resistance to tarnishing are valued. 
❌ Not suitable for high-strength structural components in furniture or interior fit-outs, as brass lacks the mechanical strength of materials like steel or aluminum. Catering equipment, particularly those requiring high durability and strength, due to brass's higher cost and lower mechanical strength compared to stainless steel, which is more suitable for food safety and hygiene standards.",,,,,,,
Global,MAT-Metal-0026,Metal,Copper,kg,6.87,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for copper, cathode",3.11-cutoff-22945.pdf,"Copper

✅ Suitable for decorative furniture elements and interior fittings where excellent corrosion resistance, electrical conductivity, and aesthetic appeal are desired. Copper's antimicrobial properties also make it a good choice for touch surfaces in interior fit-outs. 
❌ Not suitable for structural furniture or catering equipment due to its high cost and lower mechanical strength compared to materials like steel or aluminum. Additionally, copper's softness makes it less ideal for applications requiring high durability or load-bearing capacity.",,,,,,,
Global,MAT-Metal-0027,Metal,Zinc,kg,3.04,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for zinc,3.11-apos-4402.pdf,"Zinc

✅ Suitable for use as a corrosion protection coating on steel furniture, interior fit-outs, and catering equipment. Through the process of galvanization, zinc enhances the durability and lifespan of these items by providing a protective barrier against rust and environmental wear. Zinc can also be used in small components or fittings where corrosion resistance is critical, such as fasteners or connectors in furniture, interior fit-outs, and catering equipment.
❌ Not suitable as a primary structural material for furniture, interior fit-outs, or catering equipment due to its brittleness and low tensile strength. It lacks the necessary structural integrity for load-bearing applications. Direct application of zinc in large, visible surfaces or as a primary material in furniture, interior fit-outs, or catering equipment design is limited due to its aesthetic and mechanical properties.",,,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/4402/documentation,,,
Global,MAT-Metal-0028,Metal,Titanium,kg,47.19,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for titanium,3.11-cutoff-13925.pdf,"Titanium

✅ Suitable for high-end furniture and interior components where an exceptional strength-to-weight ratio, corrosion resistance, and long-term durability are critical. Ideal for luxury or bespoke projects that prioritize performance and longevity over cost. Specialized catering equipment that requires high durability and resistance to corrosion, particularly in environments exposed to harsh chemicals or extreme temperatures. 
❌ Not suitable for cost-sensitive furniture and interior fit-out projects due to the high cost of titanium and the significant emissions associated with its production. General catering equipment where cost efficiency is a priority, as the benefits of titanium may not justify the expense in standard applications.",,,,,,,
Global,MAT-Metal-0029,Metal,Mild Steel,kg,2.33,Ecoinvent,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,"market for steel, low-alloyed, hot rolled",3.11-cutoff-7677.pdf,"Mild Steel

✅ Suitable for structural elements in furniture and interior fit-outs where high strength, durability, and cost-efficiency are essential. Ideal for load-bearing frames and components that do not require exposure to moisture or corrosive environments. 
❌ Not suitable for catering equipment or moisture-prone interiors without additional protective coatings or treatments due to its poor corrosion resistance. Additionally, consider the high embodied emissions of mild steel when sustainability is a priority, and explore alternative materials with lower environmental impact for eco-friendly projects.",,,,,,,
China,MAT-Metal-0030,Metal,Galvanized Steel,kg,4.30,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,Galvanized coated steel sheet metal,EPD_Galvanized Coated Steel Sheet Metal_China_CN-00011_102024_102029.pdf,"Galvanized Steel

✅ Suitable for structural elements in furniture and interior fit-outs where high strength, durability, and cost-efficiency are essential. Ideal for load-bearing frames and components that require additional protection against corrosion, such as those in dry environments or with a protective coating applied. 
❌ Not suitable for catering equipment or environments prone to moisture and humidity without additional protective measures. Galvanized steel can corrode over time if exposed to moisture, and it has high embodied emissions, making it less ideal for applications where sustainability is a priority. Consider using stainless steel or other corrosion-resistant materials for these applications.","🧮 CO₂e Breakdown Table (per 1 kg of product)
Module	Assumed Share (%)	Formula	CO₂e (kg CO₂e/kg)	Description
A1	80%	0.80 × 5.18	4.14	Galvanized steel & zinc materials, packaging
A2	3%	0.03 × 5.18	0.16	Boat & truck transport modeled in Annex
A3	17%	0.17 × 5.18	0.88	Factory energy use (grid electricity, diesel)
Total (A1–A3)	100%	Sum of A1+A2+A3	5.18	Matches EPD's total GWP for A1–A3",,,The declared unit is: 1 kilogram of product,,,
Global,MAT-Metal-0031,Metal,Nickel,kg,16.81,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for nickel, class 1",3.11-cutoff-7677.pdf,"Nickel

✅ Suitable for use in stainless steel alloys for furniture and interior fit-outs where corrosion resistance, strength, and durability are critical. Nickel enhances the performance of stainless steel, making it ideal for environments that require long-lasting and low-maintenance materials. 
❌ Not suitable as a standalone material due to its high cost and significant environmental impact during extraction and processing. Additionally, nickel should not be used directly in catering equipment without being alloyed, as pure nickel can react with food and is not food-safe. Always ensure nickel is part of an appropriate alloy, such as stainless steel, to ensure safety and compliance with health standards.",,,,,,,
Global,MAT-Plastic-0001,Plastic,Polypropylene (PP),kg,3.16,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for polypropylene, granulate",3.11-cutoff-720.pdf,"Polypropylene (PP)

✅ Suitable for molded furniture shells, internal panels, and flexible interior elements; also commonly used in catering containers, trays, or chairs due to chemical and moisture resistance. Low cost and moderate durability are strengths.
❌ Not suitable for high-stress mechanical parts or load-bearing frames; can deform under heat and stress. Sustainability profile limited by fossil sourcing and low recycling rates in furniture.",,,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/720/documentation,,,
Global,MAT-Plastic-0002,Plastic,Acrylonitrile Butadiene Styrene (ABS),kg,4.85,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for acrylonitrile-butadiene-styrene copolymer,3.11-cutoff-10034.pdf,"Acrylonitrile Butadiene Styrene (ABS)

✅ Suitable for rigid structural components in office furniture (e.g., arms, casings), interior accessories (e.g., hooks, bins), and food-safe enclosures in catering when appropriately certified. Excels where durability, impact resistance, and fine mold detail are required.
❌ Not suitable for visible surfaces in catering environments unless certified for hygiene due to limited chemical resistance and difficulty in post-consumer recycling. High fossil-based impact.",,,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/10034/documentation,,,
Rest-of-World,MAT-Plastic-0003,Plastic,Polyvinyl Chloride (PVC),kg,3.08,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for polyvinyl chloride, emulsion polymerised",3.11-cutoff-92952.pdf,"Polyvinyl Chloride (PVC)

✅ Suitable for interior fit-outs and catering equipment where durability, moisture resistance, and cost-effectiveness are critical. Ideal applications include flooring, wall coverings, and piping due to its robust nature and ability to withstand moisture and wear.
❌ Not suitable for furniture applications or for projects prioritizing high environmental sustainability. PVC is derived from fossil fuels, is not biodegradable, and often relies on virgin material, contributing to higher carbon emissions. It is also not recommended for interior elements that require frequent updates or replacements, as its environmental impact is significant over time. Consider alternative materials with better sustainability credentials for projects with a strong focus on environmental responsibility.",,,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/92952/documentation,,,
Europe,MAT-Plastic-0004,Plastic,Polyvinyl Chloride (PVC),kg,2.45,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for polyvinyl chloride, emulsion polymerised",3.11-cutoff-93796.pdf,"Polyvinyl Chloride (PVC)

✅ Suitable for interior fit-outs and catering equipment where durability, moisture resistance, and cost-effectiveness are critical. Ideal applications include flooring, wall coverings, and piping due to its robust nature and ability to withstand moisture and wear.
❌ Not suitable for furniture applications or for projects prioritizing high environmental sustainability. PVC is derived from fossil fuels, is not biodegradable, and often relies on virgin material, contributing to higher carbon emissions. It is also not recommended for interior elements that require frequent updates or replacements, as its environmental impact is significant over time. Consider alternative materials with better sustainability credentials for projects with a strong focus on environmental responsibility.",,,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/93796/documentation,,,
Rest-of-World,MAT-Plastic-0005,Plastic,Polycarbonate (PC),kg,6.31,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for polycarbonate,3.11-cutoff-27784.pdf,"Polycarbonate (PC)

✅ Suitable for furniture and interior applications where high impact resistance, transparency, and lightweight properties are essential. Ideal for protective panels, lighting fixtures, decorative elements, and certain catering equipment that require durability and clarity, such as display cases and sneeze guards. 
❌ Not suitable for applications where sustainability, low environmental impact, or biodegradability are prioritized. Polycarbonate is derived from fossil fuels, typically involves the use of 100% virgin material, and is associated with high emissions. Consider alternative materials if environmental considerations are a priority, such as recycled plastics or bioplastics.",,,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/27784/documentation,,,
Europe,MAT-Plastic-0006,Plastic,Polycarbonate (PC),kg,5.17,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for polycarbonate,3.11-cutoff-29244.pdf,"Polycarbonate (PC)

✅ Suitable for furniture and interior applications where high impact resistance, transparency, and lightweight properties are essential. Ideal for protective panels, lighting fixtures, decorative elements, and certain catering equipment that require durability and clarity, such as display cases and sneeze guards. 
❌ Not suitable for applications where sustainability, low environmental impact, or biodegradability are prioritized. Polycarbonate is derived from fossil fuels, typically involves the use of 100% virgin material, and is associated with high emissions. Consider alternative materials if environmental considerations are a priority, such as recycled plastics or bioplastics.",,,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/29244/documentation,,,
Global,MAT-Plastic-0007,Plastic,High-Density Polyethylene (HDPE),kg,2.94,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for polyethylene, high density, granulate",3.11-cutoff-5563.pdf,"High-Density Polyethylene (HDPE)

✅ Suitable for furniture, interior fit-outs, and catering equipment applications where lightweight, durable, and moisture-resistant materials are essential. Ideal for products such as food containers, trays, protective covers, outdoor furniture, and interior components due to its excellent chemical resistance, toughness, and ease of cleaning. HDPE's ability to withstand harsh environments makes it a practical choice for both indoor and outdoor settings.
❌ Not suitable for applications where environmental sustainability is a priority, such as projects requiring biodegradable materials or those with a focus on reducing carbon footprint. HDPE is derived from fossil fuels, typically lacks recycled content, and its production and disposal can contribute to environmental pollution. Consider alternatives like bioplastics or recycled materials for eco-conscious projects.",,,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/5563/documentation,,,
China,MAT-Plastic-0008,Plastic,Thermoplastic Polyurethane (TPU),kg,5.00,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Thermoplastic Polyurethane (TPU),EPD-IES-0017982 Thermoplastic Polyurethane (TPU) 20250129-20300129.pdf,"Thermoplastic Polyurethane (TPU)

✅ Suitable for interior fit-outs and catering equipment applications requiring flexible, durable plastic components, such as edge trims, seals, protective bumpers, and moulded plastic parts that demand abrasion resistance, elasticity, and mechanical strength. TPU offers excellent versatility, toughness, and chemical resistance, making it ideal for applications where flexibility and durability are critical.
❌ Not suitable for applications where high thermal insulation is required (e.g., cold storage, insulated panels) or where biodegradability and recyclability are priorities. TPU is fossil-based and thermoplastic, and while recyclable, it may not align with sustainability goals if reducing embodied carbon is critical.","✅ Summary Table
Stage	CO₂e (kg CO₂e/kg)	Notes
A1	5.00	High raw material intensity
A2	0.00 (not reported)	Likely included in A1 or negligible
A3	0.567	Manufacturing with gas & electricity
Total (A1–A3)	5.57	Confirmed from EPD total",,,,,,
Rest-of-World,MAT-Plastic-0010,Plastic,Acrylic (PMMA),kg,7.92,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for polymethyl methacrylate,3.11-cutoff-93084.pdf,"Acrylic (PMMA)

✅ Suitable for interior fit-outs and furniture applications where high transparency, light weight, and aesthetic appeal are prioritized. Common uses include display cases, decorative panels, partitions, and modern furniture elements that seek a glass-like appearance with lower weight and improved weathering resistance.
❌ Not suitable for applications requiring thermal insulation, structural load-bearing performance, or rigorous cleaning regimes, such as cold storage panels or catering equipment housings. Additionally, PMMA’s fossil-fuel origin, limited recyclability, and lack of biodegradability reduce its appeal for sustainability-focused projects.",,,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/93084/documentation,,,
Europe,MAT-Plastic-0011,Plastic,Acrylic (PMMA),kg,6.93,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for polymethyl methacrylate,3.11-cutoff-92940.pdf,"Acrylic (PMMA)

✅ Suitable for interior fit-outs and furniture applications where high transparency, light weight, and aesthetic appeal are prioritized. Common uses include display cases, decorative panels, partitions, and modern furniture elements that seek a glass-like appearance with lower weight and improved weathering resistance.
❌ Not suitable for applications requiring thermal insulation, structural load-bearing performance, or rigorous cleaning regimes, such as cold storage panels or catering equipment housings. Additionally, PMMA’s fossil-fuel origin, limited recyclability, and lack of biodegradability reduce its appeal for sustainability-focused projects.",,,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/92940/documentation,,,
Rest-of-World,MAT-Plastic-0012,Plastic,Nylon (Polyamide),kg,8.65,Ecoinvent,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,market for nylon 6-6,3.11-cutoff-20105.pdf,"Nylon (Polyamide)

✅ Suitable for furniture and interior fit-outs that demand high strength, abrasion resistance, and durability. Ideal for engineered components, upholstery, and textiles where robust mechanical properties are essential. Its resistance to wear and tear makes it a good choice for high-traffic areas and applications requiring long-lasting performance. 
❌ Not suitable for applications where environmental sustainability is a priority, such as projects emphasizing biodegradability or low carbon footprint. Nylon 6-6 is a fossil-based thermoplastic with high emissions during production and typically lacks recycled content. It is also not ideal for catering equipment that requires food-safe, non-reactive materials unless specifically treated or coated for such purposes.",,,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/20105/documentation,,,
Europe,MAT-Plastic-0013,Plastic,Nylon (Polyamide),kg,8.58,Ecoinvent,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,market for nylon 6-6,3.11-cutoff-21959.pdf,"Nylon (Polyamide)

✅ Suitable for furniture and interior fit-outs that demand high strength, abrasion resistance, and durability. Ideal for engineered components, upholstery, and textiles where robust mechanical properties are essential. Its resistance to wear and tear makes it a good choice for high-traffic areas and applications requiring long-lasting performance. 
❌ Not suitable for applications where environmental sustainability is a priority, such as projects emphasizing biodegradability or low carbon footprint. Nylon 6-6 is a fossil-based thermoplastic with high emissions during production and typically lacks recycled content. It is also not ideal for catering equipment that requires food-safe, non-reactive materials unless specifically treated or coated for such purposes.",,,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/21959/documentation,,,
Global,MAT-Plastic-0014,Plastic,Polyethylene Terephthalate (PET),kg,3.66,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for polyethylene terephthalate, granulate, bottle grade",3.11-cutoff-6889.pdf,"Polyethylene Terephthalate (PET)

✅ Suitable for catering equipment and interior fit-out applications where food safety, lightweight properties, and durability are essential. Ideal for beverage containers and other food-contact items due to its excellent hygiene, chemical resistance, and clarity. PET is also suitable for certain interior fit-out applications where transparency and lightweight are desired, such as decorative panels or protective screens.
❌ Not suitable for furniture applications requiring high mechanical strength, rigidity, or environmental sustainability. PET is fossil-based, non-biodegradable, and typically has high emissions associated with its production. While PET can be recycled, the use of virgin bottle-grade PET often lacks recycled content, making it less favorable for sustainable projects. Consider alternative materials with higher recycled content or biodegradable options for environmentally focused projects.",,,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/6889/documentation,,,
Rest-of-World,MAT-Plastic-0015,Plastic,Expanded Polystyrene (EPS),kg,3.83,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for polystyrene, expandable",3.11-cutoff-3222.pdf,"Expanded Polystyrene (EPS)

✅ Suitable for interior fit-outs and catering sectors where lightweight thermal and sound insulation is required, as well as for protective packaging due to its excellent insulation properties and low cost. EPS is particularly useful in applications where temporary or short-term solutions are needed, such as event setups or temporary installations. 
❌ Not suitable for furniture or long-term applications due to its high emissions during production, lack of biodegradability, and poor mechanical strength. EPS is not recommended for structural components or areas where durability and longevity are critical, as it can degrade over time and is not environmentally sustainable.",,,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/3222/documentation,,,
Global,MAT-Plastic-0016,Plastic,Low-Density Polyethylene (LDPE),kg,3.07,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for polyethylene, low density, granulate",3.11-cutoff-2858.pdf,"Low-Density Polyethylene (LDPE)

✅ Suitable for interior fit-outs and catering packaging applications where flexibility, moisture resistance, and cost-effectiveness are prioritized. Ideal for protective films, cable coatings, and disposable items such as food packaging and liners, where durability and environmental exposure are not critical concerns.
❌ Not suitable for furniture applications requiring high mechanical strength and durability, such as load-bearing components or long-term use items. Additionally, consider the environmental impact of LDPE, as it is derived from fossil fuels and can contribute to plastic waste if not properly managed or recycled.",,,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/6889/documentation,,,
Rest-of-World,MAT-Plastic-0017,Plastic,Melamine-Formaldehyde (MF),kg,6.15,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for melamine formaldehyde resin,3.11-cutoff-17609.pdf,"Melamine-Formaldehyde (MF)

✅ Suitable for applications in furniture laminates, interior coatings, and catering equipment surfaces where durability, chemical resistance, and heat tolerance are critical. Ideal for environments requiring hygienic, easy-to-clean surfaces, such as kitchens, dining areas, and high-traffic public spaces. 
❌ Not suitable for projects prioritizing sustainability through biodegradability or recycled content, as MF is a fossil-based, thermoset material with limited recyclability. Avoid in contexts where environmental impact is a primary concern, such as eco-friendly or green-certified projects, due to its energy-intensive production and curing processes.",,,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/17609/documentation,,,
Europe,MAT-Plastic-0018,Plastic,Melamine-Formaldehyde (MF),kg,5.78,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for melamine formaldehyde resin,3.11-cutoff-18819.pdf,"Melamine-Formaldehyde (MF)

✅ Suitable for applications in furniture laminates, interior coatings, and catering equipment surfaces where durability, chemical resistance, and heat tolerance are critical. Ideal for environments requiring hygienic, easy-to-clean surfaces, such as kitchens, dining areas, and high-traffic public spaces. 
❌ Not suitable for projects prioritizing sustainability through biodegradability or recycled content, as MF is a fossil-based, thermoset material with limited recyclability. Avoid in contexts where environmental impact is a primary concern, such as eco-friendly or green-certified projects, due to its energy-intensive production and curing processes.",,,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/18819/documentation,,,
Belgium,MAT-Plastic-0019,Plastic,Polyvinyl Butyral (PVB),kg,2.54,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,SaflexTM LiteCarbonTM,EPD_Saflex Lite Carbon Clear_IES-0016826_Global_102024 102029.pdf,"Polyvinyl Butyral (PVB)

✅ Suitable for applications in furniture and interior fit-outs where cushioning and sealing are required, thanks to its flexibility, impact resistance, and strong adhesion properties. In catering equipment, PVB can be used effectively for hygienic sealants and protective packaging due to its ability to form a tight seal and resist moisture. 
❌ Not suitable for applications demanding high structural strength, such as load-bearing furniture components, due to its limited rigidity. Additionally, PVB is not ideal for projects with strict sustainability goals, as it is derived from fossil fuels, is not biodegradable, and has a relatively high environmental impact during production. Consider alternative materials with lower environmental footprints for sustainable projects.","In the Environmental Impact table (Unit: 1 m²), the value for:

GWP-GHG (A1–A3) = 2.43E+00 kg CO₂e/m²

🔁 Conversion to per kg
Declared mass per m² = 0.813 kg (page 4)

So,

2.43
0.813
=
2.99
 
kg CO₂e/kg
0.813
2.43
​
 =2.99kg CO₂e/kg
This is your corrected GWP-GHG for A1–A3 per kg of product.

📊 Updated Breakdown of A1, A2, and A3 (per kg)
Using the same assumed allocation (based on industry norms for PVB-based interlayers):

Stage	Assumed Share (%)	Formula	CO₂e (kg CO₂e/kg)	Description
A1	80%	0.80 × 2.99	2.392	Raw material production (PVB resins, plasticizers)
A2	5%	0.05 × 2.99	0.150	Raw material logistics (regional/global)
A3	15%	0.15 × 2.99	0.449	Film manufacturing, extrusion, packaging
Total A1–A3	100%	Sum of A1 + A2 + A3	2.99	Matches derived GWP-GHG total

","✅ Assessment Summary: Direct Match
The dataset provided in the EPD titled ""Saflex™ LiteCarbon™ Clear PVB Interlayer"" from Eastman Chemical Company is a ✅ direct match for representing cradle-to-gate (A3-only) environmental impacts for Polyvinyl Butyral (PVB) in the plastics material class. It thoroughly represents manufacturing-stage processes (A3) relevant to forming and shaping thermoplastic interlayers.
",,,,,
Global,MAT-Plastic-0020,Plastic,Thermoplastic Rubber (TPR),kg,3.16,Ecoinvent,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,"market for polypropylene, granulate",3.11-cutoff-720.pdf,"Thermoplastic Rubber (TPR)

✅ Suitable for applications in furniture, interiors, and PPE where cushioning, shock absorption, and sealing are required, thanks to TPR’s rubber-like flexibility, impact resistance, and moldability. In hospitality and catering environments, TPR is often used in soft-touch grips, anti-slip pads, and bumpers due to its durability, ease of cleaning, and skin-safe formulation.
❌ Not suitable for applications that demand high structural strength or long-term environmental performance. TPR’s fossil fuel-based composition and non-biodegradability contribute to higher environmental impact during production and disposal, making it less suitable for sustainability-focused designs.",,,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/18120/documentation,,,
